Unnamed: 0,global_x,global_y,global_z,target_molecule_name
3766435,-899.1511,1946.7549,3.0,Wipf3
3766455,-891.1771,1954.2751,3.0,Wipf3
3766746,-888.27216,1942.732,4.5,Aqp4
3766836,-896.4995,1947.7408,4.5,Bdnf
3766843,-894.9579,1944.3878,4.5,Blnk
3767331,-896.94855,1943.2755,4.5,Camk2d
3767333,-898.5638,1947.8092,4.5,Camk2d
3769442,-889.62463,1955.2389,4.5,Flrt3
3769619,-895.24225,1945.1688,4.5,Gfap
3770872,-888.9826,1949.9568,4.5,Luzp2
3771374,-888.3489400000001,1945.1721,4.5,Myh14
3771806,-890.5306400000001,1948.6338,4.5,Ntng2
3771862,-895.5187,1942.4154,4.5,Olfm3
3772971,-895.74866,1950.3634,4.5,Ptprk
3773341,-896.4055,1953.8423,4.5,Ptprt
3773738,-897.1019,1946.4167,4.5,Rgs5
3774060,-888.5695,1943.8138,4.5,Rorb
3775605,-896.8385599999999,1942.8489,4.5,Syndig1
3777275,-897.7031,1945.8025,4.5,Wipf3
3777290,-892.1782,1949.0677,4.5,Wipf3
3777301,-898.1947,1951.737,4.5,Wipf3
3777304,-895.3125,1952.7751,4.5,Wipf3
3779753,-891.9436,1952.1499,6.0,Daam2
3780996,-895.54675,1944.4296,6.0,Igfbp5
3784219,-900.83093,1947.4907,6.0,Rgs5
3784562,-888.2483,1943.547,6.0,Rorb
3784563,-889.17896,1944.2869,6.0,Rorb
3784823,-894.26544,1944.2736,6.0,Satb2
3786148,-896.7432,1942.308,6.0,Syndig1
3786149,-896.306,1942.6888,6.0,Syndig1
3786682,-893.29034,1942.9309,6.0,Trpc4
3786738,-890.8999,1945.1829,6.0,Trpc6
3787835,-897.9427,1951.4221,6.0,Wipf3
3790220,-889.9429,1949.1598,7.5,Iqgap2
3792202,-889.8644,1948.4584,7.5,Rgs5
3793785,-890.2038,1947.6078,7.5,Trp53i11
3794584,-897.9784,1951.4385,7.5,Wipf3
3798832,-900.43256,2044.2305,0.0,Calb2
3798860,-887.6961,2067.0579,0.0,Camk2d
3798863,-888.9830300000001,2067.8843,0.0,Camk2d
3799041,-893.9068,2014.78,0.0,Cdh12
3799117,-899.31104,1996.8113,0.0,Cemip
3799125,-889.082,2107.4607,0.0,Cemip
3799126,-888.4395,2114.7708,0.0,Cemip
3799127,-892.0955,2117.2444,0.0,Cemip
3799274,-893.1080000000001,2075.2683,0.0,Ctss
3799342,-888.24365,2008.202,0.0,Cux2
3799441,-897.43976,1974.002,0.0,Cxcl14
3799442,-892.1814,1979.2104,0.0,Cxcl14
3799473,-893.36914,2044.9917,0.0,Cxcl14
3799491,-893.9789999999999,2081.065,0.0,Cxcl14
3799569,-890.9083,2035.1403,0.0,Dscaml1
3799572,-888.6451,2053.6934,0.0,Dscaml1
3799603,-888.8955,2064.2554,0.0,Elfn1
3799728,-898.4910000000001,2017.723,0.0,Fosb
3799828,-900.1659,1956.8762,0.0,Hs3st5
3799875,-890.4538,1964.3334,0.0,Igfbp5
3799902,-889.8167,2042.3041,0.0,Igfbp5
3800034,-888.79785,1959.5242,0.0,Lhx6
3800084,-887.5278,2018.631,0.0,Luzp2
3800131,-889.1745599999999,2115.4058,0.0,Luzp2
3800247,-888.3257,1998.319,0.0,Meis2
3800303,-897.2194,2137.8586,0.0,Meis2
3800554,-892.49255,2116.9473,0.0,Parm1
3800572,-895.8259,2034.3231,0.0,Pcdh8
3800679,-894.18475,2002.6575,0.0,Pou3f1
3800812,-894.7355,2116.1667,0.0,Pou3f3
3800817,-894.58954,2122.5461,0.0,Pou3f3
3801029,-896.3589,2006.5316,0.0,Ptprm
3801057,-898.65594,1960.2865,0.0,Ptprt
3801120,-900.3571,2079.5088,0.0,Ptprt
3801174,-897.8694,2009.6714,0.0,Ptpru
3801267,-893.9842,1969.3431,0.0,Rgs5
3801271,-894.0421,1972.7225,0.0,Rgs5
3801272,-896.2435,1973.6262,0.0,Rgs5
3801341,-892.89594,1956.0905,0.0,Rgs6
3801380,-887.8059,2037.3481,0.0,Rgs6
3801394,-893.1310000000001,2101.3806,0.0,Rgs6
3801397,-893.9155,2104.315,0.0,Rgs6
3801558,-887.8186599999999,2037.7534,0.0,Satb2
3801562,-889.1048599999999,2042.9038,0.0,Satb2
3801611,-896.3659,2112.883,0.0,Satb2
3801684,-888.8117699999999,2043.6724,0.0,Sertm1
3801912,-898.44666,2152.04,0.0,Slc30a3
3801991,-900.7528,1979.1814,0.0,St6galnac5
3802222,-889.96704,2006.8134,0.0,Timp3
3802265,-892.9081,1992.1652,0.0,Tox
3802326,-890.2297,2002.5067,0.0,Tshz2
3802455,-887.77875,2121.9575,0.0,Ust
3802565,-900.8513,2011.6039,0.0,Wipf3
3802651,-893.8985,2114.3792,0.0,Wipf3
3802653,-890.8495,2117.6555,0.0,Wipf3
3802762,-892.0443,2000.625,1.5,Acta2
3802765,-887.5917400000001,2005.8344,1.5,Acta2
3802772,-894.56573,2068.901,1.5,Acta2
3802774,-891.5889999999999,2077.7366,1.5,Acta2
